fragment_id,article_title,article_id,fragment_index,text,length
0,The Allure,0,0,"The Allure was a professional wrestling stable affiliated with the Ring of Honor (ROH) professional wrestling promotion where Angelina Love, Velvet Sky and Mandy Leon were all members throughout their several incarnations.",222
1,The Allure,0,1,all members throughout their several incarnations. A notable win for the Women of Honor World Championship was acquired by Angelina Love who was one of the members of the stable while the stable was still active.,212
2,Yakovlev Yak-38,1,0,"The Yakovlev Yak-38 (Russian: Яковлев Як-38; NATO reporting name: ""Forger"") was Soviet Naval Aviation's only operational VTOL strike fighter aircraft in addition to being its first operational carrier-based fixed-wing aircraft.",227
3,Yakovlev Yak-38,1,1,"rst operational carrier-based fixed-wing aircraft. It was developed specifically for, and served almost exclusively on, the Kiev-class aircraft carriers (heavy aviation cruiser in Russian classification).",204
4,Takeshi Kovacs,2,0,"Takeshi Lev Kovacs is the protagonist in the books Altered Carbon (2002), Broken Angels (2003), and Woken Furies (2005) by Richard K. Morgan, which take place in or around the 26th century.",189
5,2025 Kangaroo tour of England and France,3,0,"The 2025 Kangaroo tour of England and France will be a tour by the Australia national rugby league team, in which the 2025 Ashes Series (branded as the ABK Beer Ashes Series for sponsorship reasons) will be contested.",217
6,2025 Kangaroo tour of England and France,3,1,"Series for sponsorship reasons) will be contested. The tour will occur following the conclusions of the domestic seasons in the UK and Australia. The tour was originally scheduled be a tour of Australia by England. However, in October 2024, talks began regarding moving the tour to England, thus making Australia the tourists.",326
7,2025 Kangaroo tour of England and France,3,2,"ur to England, thus making Australia the tourists. The tour marks the first time the men's rugby league Ashes has been contested since 2003.",140
8,Tik Tok (song),4,0,"""Tik Tok"" (stylized as ""TiK ToK"") is the debut single by American singer Kesha, who co-wrote the song with its producers Dr. Luke and Benny Blanco. It was released on August 7, 2009, as the lead single from her debut studio album, Animal (2010).",245
9,Tik Tok (song),4,1,"single from her debut studio album, Animal (2010). According to Kesha, the song's lyrics are representative of her and based on her life. In the lyrics, which have a carefree message, the narrator talks about not letting anything bring them down.",246
10,Tik Tok (song),4,2," talks about not letting anything bring them down. ""Tik Tok"" is an electropop and dance-pop song incorporating Auto-Tune and a minimalist bitpop beat interspersed with handclaps and synthesizers. The verses use a rapsing vocal style while the chorus is sung.",258
11,Tik Tok (song),4,3,"se a rapsing vocal style while the chorus is sung. Some critics complimented the production as catchy, but others took issue with it as generic and disposable compared to the mainstream pop music scene.",202
12,Tik Tok (song),4,4,"osable compared to the mainstream pop music scene. In the United States, ""Tik Tok"" spent nine weeks atop the Billboard Hot 100 and ended up being certified 12 platinum by the Recording Industry Association of America (RIAA).",224
13,Tik Tok (song),4,5," Recording Industry Association of America (RIAA). Topping the charts in many other countries including Australiawhere it was certified ninefold platinum, Canada, France, Germany, Norway, and Switzerland, it was the best-selling single worldwide in 2010, selling 12.8 million copies.",283
14,Tik Tok (song),4,6,"le worldwide in 2010, selling 12.8 million copies. Today, the song is among the best-selling digital singles of all time, having sold 14 million digital copies worldwide. Furthermore, it is currently listed as the 68th biggest Billboard Hot 100 hit of all time.",261
15,Self-knowledge (psychology),5,0,"Self-knowledge is a term used in psychology to describe the information that an individual draws upon when finding answers to the questions ""What am I like?"" and ""Who am I?"".",174
16,Self-knowledge (psychology),5,1,"o the questions ""What am I like?"" and ""Who am I?"". While seeking to develop the answer to this question, self-knowledge requires ongoing self-awareness and self-consciousness (which is not to be confused with consciousness).",224
17,Self-knowledge (psychology),5,2," (which is not to be confused with consciousness). Young infants and chimpanzees display some of the traits of self-awareness and agencycontingency, yet they are not considered as also having self-consciousness.",211
18,Self-knowledge (psychology),5,3," not considered as also having self-consciousness. At some greater level of cognition, however, a self-conscious component emerges in addition to an increased self-awareness component, and then it becomes possible to ask ""What am I like?",237
19,Self-knowledge (psychology),5,4,"d then it becomes possible to ask ""What am I like? "", and to answer with self-knowledge, though self-knowledge has limits, as introspection has been said to be limited and complex. Self-knowledge is a component of the self or, more accurately, the self-concept.",261
20,Self-knowledge (psychology),5,5,"of the self or, more accurately, the self-concept. It is the knowledge of oneself and one's properties and the desire to seek such knowledge that guide the development of the self-concept, even if that concept is flawed.",220
21,Self-knowledge (psychology),5,6," the self-concept, even if that concept is flawed. Self-knowledge informs us of our mental representations of ourselves, which contain attributes that we uniquely pair with ourselves, and theories on whether these attributes are stable or dynamic, to the best that we can evaluate ourselves.",291
22,Self-knowledge (psychology),5,7,"namic, to the best that we can evaluate ourselves. The self-concept is thought to have three primary aspects: The cognitive self The affective self The executive self The affective and executive selves are also known as the felt and active selves respectively, as they refer to the emotional and behavioral components of the self-concept.",338
23,Self-knowledge (psychology),5,8,nal and behavioral components of the self-concept. Self-knowledge is linked to the cognitive self in that its motives guide our search to gain greater clarity and assurance that our own self-concept is an accurate representation of our true self; for this reason the cognitive self is also referred to as the known self.,320
24,Self-knowledge (psychology),5,9,"nitive self is also referred to as the known self. The cognitive self is made up of everything we know (or think we know) about ourselves. This implies physiological properties such as hair color, race, and height etc. ; and psychological properties like beliefs, values, and dislikes to name but a few.",303
25,Self-knowledge (psychology),5,10,"e beliefs, values, and dislikes to name but a few. Self knowledge just simply means introspecting your behaviour and actions from a third persons view to the various situations faced in life and then trying to identify the causes of these issues in life.",254
26,Annihilation (film),6,0,"Annihilation is a 2018 science fiction horror film written and directed by Alex Garland, loosely based on the 2014 novel by Jeff VanderMeer. It stars Natalie Portman, Jennifer Jason Leigh, Gina Rodriguez, Tessa Thompson, Tuva Novotny, and Oscar Isaac.",251
27,Annihilation (film),6,1,"ez, Tessa Thompson, Tuva Novotny, and Oscar Isaac. The story follows a group of scientists who enter the Shimmer, a mysterious quarantined zone of mutating plants and animals caused by an alien presence.",203
28,Annihilation (film),6,2,"ng plants and animals caused by an alien presence. Released theatrically in the United States by Paramount Pictures on February 23, 2018, Annihilation was released digitally by Netflix in a number of other countries on March 12, 2018. It received positive reviews from critics and grossed 43 million worldwide.",310
29,Annihilation (film),6,3,"ews from critics and grossed 43 million worldwide. According to Empire magazine, the film addresses ""depression, grief, and the human propensity for self-destruction.""",167
30,List of Jujutsu Kaisen characters,7,0,The Jujutsu Kaisen manga series features an extensive cast of characters created by Gege Akutami.,97
31,Main Ground Combat System,8,0,"The Main Ground Combat System (MGCS) is a project launched in 2017 by Germany and France, aiming to replace their current Leopard 2 and Leclerc main battle tanks.",162
32,Main Ground Combat System,8,1,"r current Leopard 2 and Leclerc main battle tanks. Coordinated by Germany, in contrast to the other major Franco-German program launched in 2018 (the Future Combat Air System implemented under French lead), the MGCS will not be a single armoured fighting vehicle, but a series of systems conceived around said vehicle.",318
33,Main Ground Combat System,8,2,"a series of systems conceived around said vehicle. It is to be developed and manufactured by KNDS (a holding company founded in 2015 by German arms producer KMW and the French defence firm Nexter Systems) and Rheinmetall, which joined the project in 2019.",255
34,Main Ground Combat System,8,3,"and Rheinmetall, which joined the project in 2019. Rheinmetall's addition to the MGCS did not go without tensions between Paris and Berlin, as development leadership of the various pillars of the program as well industrial production were supposed to be equally split between the two countries.",294
35,Main Ground Combat System,8,4,"sed to be equally split between the two countries. Ultimately, an agreement was reached, with Nexter, KMW and Rheinmetall leading the development of 13 of the program's pillars each, with a guarantee that Nexter will manufacture 50% of the systems as originally agreed, while the remaining half is shared between the two German contractors.",340
36,Main Ground Combat System,8,5,"half is shared between the two German contractors. The first production unit is expected to roll off the assembly line in 2045. According to Frank Haun, CEO of KNDS, various countries have shown interest in joining the MGCS, including Italy, Norway, Poland, Spain, Sweden and the United Kingdom. Discussions are still ongoing on the matter as of 2022.",351
37,MTV Live (international TV channel),9,0,"MTV Live (previously known as MTVNHD and MTV Live HD) is the international version of the American TV channel MTV Live. It operates as a 24-hour, high-definition, live music pay television network owned by Paramount International Networks through its subsidiary, Paramount Networks EMEAA.",288
